Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
2,6250.0,6250.0,6250.0,6250.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,3273.0,3273.0,3273.0,3273.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,4133.0,4133.0,4133.0,4133.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,3620.0,3620.0,3620.0,3620.0,1.0,False,True,True,False,False,True,True,False,False,True,False
0,6782.0,6782.0,6782.0,6782.0,5403.459283387622,False,True,True,False,True,False,False,False,False,False,True
0,2484.0,2484.0,2484.0,2484.0,1.0,True,False,False,True,True,False,True,False,False,True,False
0,1977.0,1977.0,1977.0,1977.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4188.0,4188.0,4188.0,4188.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,1759.0,1759.0,1759.0,1759.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,4288.0,4288.0,4288.0,4288.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,4843.0,4843.0,4843.0,4843.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0.0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
0,4652.0,4652.0,4652.0,4652.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0.0,3816.0,3816.0,3816.0,3816.0,1.0,False,True,False,False,True,False,True,False,False,False,True
1,3052.0,3052.0,3052.0,3052.0,1.0,False,True,False,True,True,False,True,False,False,False,True
2,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
0,7333.0,7333.0,7333.0,7333.0,1.0,False,True,True,False,False,True,False,False,True,False,False
2,3800.0,3800.0,3800.0,3800.0,0.0,False,True,False,True,True,False,True,False,False,False,True
3,2071.0,2071.0,2071.0,2071.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,5316.0,5316.0,5316.0,5316.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,2929.0,2929.0,2929.0,2929.0,1.0,True,False,False,True,True,False,False,False,False,True,False
0,3572.0,3572.0,3572.0,3572.0,0.0,False,True,False,True,False,True,True,False,True,False,False
1,7451.0,7451.0,7451.0,7451.0,1.0,True,False,True,False,True,False,False,True,False,True,False
0,5050.0,5050.0,5050.0,5050.0,1.0,False,True,True,False,True,False,False,False,False,True,False
1,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,True,False,False
0,3167.0,3167.0,3167.0,3167.0,1.0,True,False,False,True,True,False,True,False,False,True,False
1,2214.0,2214.0,2214.0,2214.0,5403.459283387622,False,True,False,True,True,False,True,False,False,False,True
0,5568.0,5568.0,5568.0,5568.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,10161.5,10161.5,10161.5,10161.5,1.0,True,False,True,False,True,False,True,False,False,False,True
0.0,5667.0,5667.0,5667.0,5667.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,4166.0,4166.0,4166.0,4166.0,1.0,True,False,True,False,True,False,True,False,False,True,False
0,2137.0,2137.0,2137.0,2137.0,0.0,True,False,True,False,True,False,True,False,False,True,False
2,2957.0,2957.0,2957.0,2957.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4300.0,4300.0,4300.0,4300.0,1.0,False,True,False,True,False,True,True,False,True,False,False
0,3692.0,3692.0,3692.0,3692.0,5403.459283387622,True,False,True,False,True,False,True,False,True,False,False
3,10161.5,10161.5,10161.5,10161.5,1.0,False,False,False,True,True,False,True,False,True,False,False
0,3865.0,3865.0,3865.0,3865.0,1.0,False,True,True,False,True,False,True,False,True,False,False
1,10161.5,10161.5,10161.5,10161.5,0.0,False,True,False,True,True,False,False,True,False,False,True
0,6080.0,6080.0,6080.0,6080.0,5403.459283387622,False,True,False,True,True,False,True,False,True,False,False
0,10161.5,10161.5,10161.5,10161.5,5403.459283387622,False,True,True,False,True,False,False,True,False,False,True
0,2014.0,2014.0,2014.0,2014.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,2718.0,2718.0,2718.0,2718.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,3459.0,3459.0,3459.0,3459.0,1.0,False,True,False,True,True,False,False,True,False,True,False
0,4895.0,4895.0,4895.0,4895.0,1.0,False,True,True,False,True,False,True,False,False,True,False
3,4000.0,4000.0,4000.0,4000.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4583.0,4583.0,4583.0,4583.0,1.0,True,False,False,True,True,False,True,False,True,False,False
2,3316.0,3316.0,3316.0,3316.0,1.0,False,True,False,True,True,False,False,True,False,False,True
0,10161.5,10161.5,10161.5,10161.5,0.0,False,True,True,False,True,False,True,False,False,True,False
2,4200.0,4200.0,4200.0,4200.0,1.0,False,True,False,True,False,True,True,False,True,False,False
2,5042.0,5042.0,5042.0,5042.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,5417.0,5417.0,5417.0,5417.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,6950.0,6950.0,6950.0,6950.0,1.0,False,True,True,False,True,False,False,True,False,True,False
0,2698.0,2698.0,2698.0,2698.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2330.0,2330.0,2330.0,2330.0,1.0,True,False,False,True,True,False,True,False,False,True,False
2,10161.5,10161.5,10161.5,10161.5,1.0,True,False,False,True,True,False,True,False,False,False,True
1,1538.0,1538.0,1538.0,1538.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,10000.0,10000.0,10000.0,10000.0,1.0,True,False,True,False,True,False,True,False,True,False,False
0,4860.0,4860.0,4860.0,4860.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,6277.0,6277.0,6277.0,6277.0,0.0,False,True,True,False,True,False,True,False,True,False,False
0,2577.0,2577.0,2577.0,2577.0,1.0,False,True,False,True,True,False,False,True,True,False,False
0,9166.0,9166.0,9166.0,9166.0,1.0,False,True,True,False,True,False,True,False,False,False,True
2,2281.0,2281.0,2281.0,2281.0,1.0,False,True,False,True,False,True,True,False,True,False,False
0,3254.0,3254.0,3254.0,3254.0,1.0,False,True,True,False,True,False,True,False,False,False,True
3,10161.5,10161.5,10161.5,10161.5,0.0,False,True,False,True,True,False,True,False,False,True,False
1,6000.0,6000.0,6000.0,6000.0,5403.459283387622,False,True,False,True,True,False,True,False,True,False,False
1,9538.0,9538.0,9538.0,9538.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2980.0,2980.0,2980.0,2980.0,1.0,False,True,True,False,True,False,False,False,True,False,False
0,4583.0,4583.0,4583.0,4583.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,1863.0,1863.0,1863.0,1863.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,7933.0,7933.0,7933.0,7933.0,1.0,False,True,False,True,True,False,True,False,False,False,True
1,3089.0,3089.0,3089.0,3089.0,0.0,False,True,False,True,True,False,True,False,False,True,False
2,4167.0,4167.0,4167.0,4167.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,9323.0,9323.0,9323.0,9323.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,3707.0,3707.0,3707.0,3707.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,4583.0,4583.0,4583.0,4583.0,1.0,True,False,False,True,True,False,True,False,True,False,False
0,2439.0,2439.0,2439.0,2439.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,2237.0,2237.0,2237.0,2237.0,0.0,False,True,True,False,True,False,True,False,False,True,False
2,8000.0,8000.0,8000.0,8000.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,1820.0,1820.0,1820.0,1820.0,1.0,False,True,False,True,False,True,False,False,True,False,False
3,10161.5,10161.5,10161.5,10161.5,1.0,False,False,False,True,True,False,True,False,False,False,True
3,3522.0,3522.0,3522.0,3522.0,1.0,False,True,False,True,False,True,True,False,True,False,False
0,5708.0,5708.0,5708.0,5708.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4344.0,4344.0,4344.0,4344.0,1.0,False,True,False,True,False,True,False,True,False,True,False
0,3497.0,3497.0,3497.0,3497.0,1.0,False,True,False,True,True,False,True,False,True,False,False
2,2045.0,2045.0,2045.0,2045.0,1.0,False,True,False,True,True,False,True,False,True,False,False
3,5516.0,5516.0,5516.0,5516.0,0.0,False,True,False,True,True,False,True,False,False,True,False
1,3750.0,3750.0,3750.0,3750.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,2333.0,2333.0,2333.0,2333.0,0.0,False,True,True,False,False,True,True,False,False,False,True
1,6400.0,6400.0,6400.0,6400.0,0.0,False,True,False,True,True,False,True,False,False,False,True
0,1916.0,1916.0,1916.0,1916.0,5403.459283387622,False,True,True,False,True,False,True,False,True,False,False
0,4600.0,4600.0,4600.0,4600.0,1.0,False,True,False,True,True,False,True,False,False,True,False
1,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3625.0,3625.0,3625.0,3625.0,1.0,True,False,False,True,True,False,True,False,False,True,False
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,False,True,False,True,False
1,2178.0,2178.0,2178.0,2178.0,0.0,False,True,False,True,True,False,False,True,True,False,False
0,2383.0,2383.0,2383.0,2383.0,5403.459283387622,False,True,False,True,True,False,True,False,True,False,False
0,674.0,674.0,674.0,674.0,1.0,False,False,False,True,True,False,False,True,True,False,False
0,9328.0,9328.0,9328.0,9328.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,4885.0,4885.0,4885.0,4885.0,1.0,False,True,True,False,False,True,True,False,True,False,False
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,True,False,True,False,True,False,False,True,False
0,6033.0,6033.0,6033.0,6033.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,3858.0,3858.0,3858.0,3858.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,4191.0,4191.0,4191.0,4191.0,1.0,False,True,True,False,True,False,True,False,True,False,False
1,3125.0,3125.0,3125.0,3125.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,8333.0,8333.0,8333.0,8333.0,1.0,False,True,True,False,True,False,True,False,True,False,False
0,1907.0,1907.0,1907.0,1907.0,1.0,True,False,True,False,False,True,True,False,False,False,True
0,3416.0,3416.0,3416.0,3416.0,5403.459283387622,True,False,False,True,True,False,True,False,False,True,False
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,True,False,True,False,False,True,False,False,True
1,2600.0,2600.0,2600.0,2600.0,1.0,False,True,False,True,False,True,True,False,False,True,False
2,4923.0,4923.0,4923.0,4923.0,0.0,False,True,True,False,True,False,True,False,False,True,False
3,3992.0,3992.0,3992.0,3992.0,1.0,False,True,False,True,False,True,True,False,False,False,True
1,3500.0,3500.0,3500.0,3500.0,1.0,False,True,False,True,False,True,True,False,False,False,True
2,3917.0,3917.0,3917.0,3917.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,4408.0,4408.0,4408.0,4408.0,1.0,True,False,True,False,False,True,True,False,False,True,False
0,3244.0,3244.0,3244.0,3244.0,1.0,True,False,True,False,True,False,True,False,False,False,True
0,3975.0,3975.0,3975.0,3975.0,1.0,False,True,True,False,False,True,True,False,True,False,False
0,2479.0,2479.0,2479.0,2479.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,3418.0,3418.0,3418.0,3418.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,10000.0,10000.0,10000.0,10000.0,1.0,True,False,True,False,True,False,True,False,False,True,False
3,3430.0,3430.0,3430.0,3430.0,0.0,False,True,False,True,True,False,True,False,False,True,False
1,7787.0,7787.0,7787.0,7787.0,1.0,False,True,False,True,True,False,False,True,False,False,True
3,5703.0,5703.0,5703.0,5703.0,1.0,False,True,False,True,False,True,False,True,True,False,False
0,3173.0,3173.0,3173.0,3173.0,1.0,False,True,False,True,True,False,True,False,False,False,True
3,3850.0,3850.0,3850.0,3850.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,150.0,150.0,150.0,150.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,3727.0,3727.0,3727.0,3727.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,5000.0,5000.0,5000.0,5000.0,0.0,False,True,False,True,True,False,False,False,False,True,False
2,4283.0,4283.0,4283.0,4283.0,5403.459283387622,True,False,False,True,True,False,True,False,False,True,False
0,2221.0,2221.0,2221.0,2221.0,0.0,False,True,False,True,True,False,True,False,False,False,True
2,4009.0,4009.0,4009.0,4009.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,2971.0,2971.0,2971.0,2971.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,7578.0,7578.0,7578.0,7578.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,6250.0,6250.0,6250.0,6250.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3250.0,3250.0,3250.0,3250.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0.0,4735.0,4735.0,4735.0,4735.0,1.0,False,True,False,True,False,True,False,True,False,False,True
2,6250.0,6250.0,6250.0,6250.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0.0,4758.0,4758.0,4758.0,4758.0,1.0,False,True,False,False,True,False,True,False,False,True,False
0,6400.0,6400.0,6400.0,6400.0,1.0,False,True,True,False,True,False,False,True,True,False,False
1,2491.0,2491.0,2491.0,2491.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3716.0,3716.0,3716.0,3716.0,1.0,False,True,False,True,True,False,False,False,True,False,False
0,3189.0,3189.0,3189.0,3189.0,1.0,False,True,True,False,False,True,True,False,True,False,False
0,8333.0,8333.0,8333.0,8333.0,1.0,True,False,True,False,True,False,True,False,False,True,False
1,3155.0,3155.0,3155.0,3155.0,1.0,False,True,False,True,True,False,True,False,False,True,False
1,5500.0,5500.0,5500.0,5500.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,5746.0,5746.0,5746.0,5746.0,5403.459283387622,False,True,False,True,True,False,False,False,False,False,True
0,3463.0,3463.0,3463.0,3463.0,5403.459283387622,True,False,True,False,True,False,False,True,False,False,True
1,3812.0,3812.0,3812.0,3812.0,1.0,True,False,True,False,True,False,True,False,True,False,False
1,3315.0,3315.0,3315.0,3315.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,5819.0,5819.0,5819.0,5819.0,1.0,False,True,False,True,True,False,True,False,True,False,False
1,2510.0,2510.0,2510.0,2510.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,2965.0,2965.0,2965.0,2965.0,1.0,False,True,True,False,True,False,True,False,False,False,True
2,6250.0,6250.0,6250.0,6250.0,1.0,False,True,False,True,True,False,False,True,True,False,False
0,3406.0,3406.0,3406.0,3406.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,6050.0,6050.0,6050.0,6050.0,1.0,False,True,True,False,True,False,False,True,False,False,True
2,9703.0,9703.0,9703.0,9703.0,1.0,False,True,False,True,True,False,True,False,False,False,True
1,6608.0,6608.0,6608.0,6608.0,1.0,False,True,False,True,False,True,True,False,False,False,True
1,2882.0,2882.0,2882.0,2882.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,1809.0,1809.0,1809.0,1809.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,1668.0,1668.0,1668.0,1668.0,0.0,False,True,False,True,False,True,True,False,False,True,False
2,3427.0,3427.0,3427.0,3427.0,1.0,True,False,True,False,True,False,True,False,False,False,True
0,2583.0,2583.0,2583.0,2583.0,1.0,False,True,True,False,False,True,False,True,True,False,False
1,2661.0,2661.0,2661.0,2661.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,10161.5,10161.5,10161.5,10161.5,0.0,False,True,True,False,True,False,False,True,False,False,True
3,3083.0,3083.0,3083.0,3083.0,1.0,True,False,True,False,True,False,True,False,True,False,False
0,6045.0,6045.0,6045.0,6045.0,0.0,False,True,True,False,False,True,True,False,True,False,False
3,5250.0,5250.0,5250.0,5250.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,True,False,False
3,4931.0,4931.0,4931.0,4931.0,5403.459283387622,False,True,False,True,False,True,True,False,False,True,False
1,6083.0,6083.0,6083.0,6083.0,5403.459283387622,False,True,False,True,True,False,True,False,False,False,True
0,2060.0,2060.0,2060.0,2060.0,1.0,False,True,True,False,True,False,True,False,False,True,False
1,3481.0,3481.0,3481.0,3481.0,1.0,True,False,True,False,True,False,True,False,False,True,False
0,7200.0,7200.0,7200.0,7200.0,1.0,True,False,True,False,True,False,True,False,True,False,False
0,5166.0,5166.0,5166.0,5166.0,1.0,False,True,True,False,True,False,False,True,False,True,False
0,4095.0,4095.0,4095.0,4095.0,1.0,False,True,True,False,True,False,True,False,True,False,False
2,4708.0,4708.0,4708.0,4708.0,1.0,False,True,False,True,True,False,True,False,False,True,False
3,4333.0,4333.0,4333.0,4333.0,0.0,False,True,False,True,True,False,True,False,False,False,True
0,3418.0,3418.0,3418.0,3418.0,1.0,True,False,True,False,True,False,False,False,True,False,False
1,2876.0,2876.0,2876.0,2876.0,1.0,True,False,True,False,True,False,True,False,False,False,True
0,3237.0,3237.0,3237.0,3237.0,1.0,True,False,True,False,True,False,True,False,False,False,True
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2833.0,2833.0,2833.0,2833.0,1.0,False,True,True,False,True,False,True,False,True,False,False
0,2620.0,2620.0,2620.0,2620.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,3900.0,3900.0,3900.0,3900.0,1.0,False,True,False,True,True,False,True,False,False,True,False
1,2750.0,2750.0,2750.0,2750.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3993.0,3993.0,3993.0,3993.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3103.0,3103.0,3103.0,3103.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4100.0,4100.0,4100.0,4100.0,5403.459283387622,True,False,False,True,False,True,True,False,True,False,False
1,4053.0,4053.0,4053.0,4053.0,0.0,False,True,True,False,False,True,False,True,False,False,True
0,3927.0,3927.0,3927.0,3927.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,2301.0,2301.0,2301.0,2301.0,1.0,False,True,False,True,True,False,True,False,False,False,True
